title,location,price,sqft,price_per_sqft
2 BHK Apartment for Sale in Meppur Village Chennai,Meppur Village Chennai,5000000,1006,4970
3 BHK  House for Sale in Kolapakkam Chennai,Kolapakkam Chennai,14000000,2000,7000
3 BHK  House for Sale in Chepauk Chennai,Chepauk Chennai,12000000,567,21164
3 BHK Apartment for Sale in Sowcarpet Chennai,Sowcarpet Chennai,6500000,1100,5909
3 BHK Apartment for Sale in Padupakkam Chennai,Padupakkam Chennai,13000000,1140,11403
3 BHK Apartment for Sale in AGS Colony Velachery Chennai,AGS Colony Velachery Chennai,22500000,1800,12500
3 BHK  House for Sale in Kotturpuram Chennai,Kotturpuram Chennai,89000000,1500,59333
2 BHK Apartment for Sale in Thirumullaivoyal Chennai,Thirumullaivoyal Chennai,5000000,826,6053
2 BHK Builder Floor for Sale in Perumbakkam Chennai,Perumbakkam Chennai,5500000,972,5658
3 BHK Apartment for Sale in Ashok Nagar Chennai,Ashok Nagar Chennai,20000000,1300,15384
2 BHK Apartment for Sale in Ramachandra Nagar Kolapakkam Chennai,Ramachandra Nagar Kolapakkam Chennai,4330000,450,9622
3 BHK Apartment for Sale in Alwartirunagar Chennai,Alwartirunagar Chennai,20000000,1950,10256
2 BHK  House for Sale in Oragadam Chennai,Oragadam Chennai,3800000,1136,3345
2 BHK Apartment for Sale in Kattankulathur Chennai,Kattankulathur Chennai,4530000,1035,4376
2 BHK Apartment for Sale in Sowrastra Nagar Chennai,Sowrastra Nagar Chennai,7000000,600,11666
2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,Mogappair West Ambattur Industrial Estate Chennai,6500000,1000,6500
3 BHK Apartment for Sale in Korattur Chennai,Korattur Chennai,12000000,937,12806
3 BHK Builder Floor for Sale in Porur Chennai,Porur Chennai,13100000,1330,9849
3 BHK  House for Sale in Singaperumal Koil Chennai,Singaperumal Koil Chennai,4310000,950,4536
2 BHK Apartment for Sale in Padur Chennai,Padur Chennai,8400000,1028,8171
3 BHK Apartment for Sale in Ayanambakkam Chennai,Ayanambakkam Chennai,7500000,1155,6493
2 BHK  House for Sale in Vandalur Chennai,Vandalur Chennai,4400000,900,4888
2 BHK Builder Floor for Sale in Korattur Chennai,Korattur Chennai,7500000,720,10416
2 BHK Builder Floor for Sale in Eldams Road Chennai,Eldams Road Chennai,8500000,750,11333
3 BHK Apartment for Sale in Egattur Chennai,Egattur Chennai,22000000,1450,15172
2 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,7500000,980,7653
3 BHK Villa for Sale in Kelambakkam Chennai,Kelambakkam Chennai,12600000,1801,6996
3 BHK Apartment for Sale in S Kolathur Chennai,S Kolathur Chennai,9760000,1180,8271
2 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,8790000,850,10341
2 BHK Apartment for Sale in Poonamallee Chennai,Poonamallee Chennai,2900000,632,4588
3 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,39000000,1800,21666
2 BHK Builder Floor for Sale in Zamin Pallavaram Chennai,Zamin Pallavaram Chennai,6000000,950,6315
3 BHK Apartment for Sale in Surya Nagar Medavakkam Chennai,Surya Nagar Medavakkam Chennai,9500000,1333,7126
2 BHK Apartment for Sale in Porur Chennai,Porur Chennai,5000000,620,8064
2 BHK Villa for Sale in Mangadu Chennai,Mangadu Chennai,8200000,1250,6560
2 BHK Apartment for Sale in Agaram Chennai,Agaram Chennai,5900000,875,6742
3 BHK Villa for Sale in Rattinamangalam Chennai,Rattinamangalam Chennai,12000000,1890,6349
2 BHK Apartment for Sale in Ambattur Chennai,Ambattur Chennai,6400000,901,7103
2 BHK Apartment for Sale in Padmanabha Nagar Choolaimedu Chennai,Padmanabha Nagar Choolaimedu Chennai,10900000,903,12070
3 BHK Villa for Sale in Nazarathpettai Chennai,Nazarathpettai Chennai,9500000,1190,7983
3 BHK Builder Floor for Sale in Velachery Chennai,Velachery Chennai,20000000,2160,9259
2 BHK Apartment for Sale in Urapakkam Chennai,Urapakkam Chennai,5340000,870,6137
3 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,16000000,1000,16000
3 BHK  House for Sale in Kilpauk Chennai,Kilpauk Chennai,90000000,1400,64285
2 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,6800000,722,9418
3 BHK Apartment for Sale in Luz Corner Chennai,Luz Corner Chennai,52500000,1703,30827
3 BHK Apartment for Sale in Manapakkam Chennai,Manapakkam Chennai,17000000,1275,13333
3 BHK Apartment for Sale in Koyambedu Chennai,Koyambedu Chennai,12500000,1150,10869
3 BHK  House for Sale in Annai Anjugam Nagar Urapakkam Chennai,Annai Anjugam Nagar Urapakkam Chennai,16500000,1950,8461
2 BHK Apartment for Sale in T Nagar Chennai,T Nagar Chennai,11500000,770,14935
3 BHK Apartment for Sale in Kovilambakkam Chennai,Kovilambakkam Chennai,7700000,900,8555
2 BHK Apartment for Sale in Melakottaiyur Chennai,Melakottaiyur Chennai,2400000,650,3692
3 BHK Apartment for Sale in Ekkatuthangal Chennai,Ekkatuthangal Chennai,23000000,1537,14964
2 BHK Apartment for Sale in Velachery Chennai,Velachery Chennai,7500000,805,9316
2 BHK Apartment for Sale in Kundrathur Chennai,Kundrathur Chennai,3500000,858,4079
