title,location,price,sqft,price_per_sqft,lat,lon
2 BHK Builder Floor for Sale in Korattur Chennai,Korattur Chennai,7500000,720,10416,13.1115484,80.1846272
2 BHK Builder Floor for Sale in Eldams Road Chennai,Eldams Road Chennai,8500000,750,11333,13.0384061,80.2541055
3 BHK Apartment for Sale in Egattur Chennai,Egattur Chennai,22000000,1450,15172,12.8358864,80.2295898
2 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,7500000,980,7653,12.9050095,80.1968629
3 BHK Villa for Sale in Kelambakkam Chennai,Kelambakkam Chennai,12600000,1801,6996,12.8429461,80.15541
3 BHK Apartment for Sale in S Kolathur Chennai,S Kolathur Chennai,9760000,1180,8271,12.9409165,80.2053522
2 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,8790000,850,10341,12.9488802,80.2326617
2 BHK Apartment for Sale in Poonamallee Chennai,Poonamallee Chennai,2900000,632,4588,13.0142534,80.1905788
3 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,39000000,1800,21666,12.9840501,80.2523098
2 BHK Apartment for Sale in Porur Chennai,Porur Chennai,5000000,620,8064,13.0320131,80.158304
2 BHK Villa for Sale in Mangadu Chennai,Mangadu Chennai,8200000,1250,6560,13.0209113,80.1259365
2 BHK Apartment for Sale in Agaram Chennai,Agaram Chennai,5900000,875,6742,13.1158603,80.2300407
2 BHK Apartment for Sale in Ambattur Chennai,Ambattur Chennai,6400000,901,7103,13.068518,80.2280904
3 BHK Builder Floor for Sale in Velachery Chennai,Velachery Chennai,20000000,2160,9259,13.0105862,80.2232935
3 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,16000000,1000,16000,12.9122358,80.2290329
3 BHK  House for Sale in Kilpauk Chennai,Kilpauk Chennai,90000000,1400,64285,13.0806801,80.2486159
2 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,6800000,722,9418,12.9743085,80.1923059
3 BHK Apartment for Sale in Luz Corner Chennai,Luz Corner Chennai,52500000,1703,30827,13.0375277,80.2677619
3 BHK Apartment for Sale in Manapakkam Chennai,Manapakkam Chennai,17000000,1275,13333,13.0147531,80.1744935
3 BHK Apartment for Sale in Koyambedu Chennai,Koyambedu Chennai,12500000,1150,10869,13.0734496,80.1948363
2 BHK Apartment for Sale in T Nagar Chennai,T Nagar Chennai,11500000,770,14935,13.0896987,80.1877418
3 BHK Apartment for Sale in Kovilambakkam Chennai,Kovilambakkam Chennai,7700000,900,8555,12.9392427,80.1825888
2 BHK Apartment for Sale in Melakottaiyur Chennai,Melakottaiyur Chennai,2400000,650,3692,12.8429461,80.15541
2 BHK Apartment for Sale in Velachery Chennai,Velachery Chennai,7500000,805,9316,13.0105862,80.2232935
2 BHK Apartment for Sale in Kundrathur Chennai,Kundrathur Chennai,3500000,858,4079,13.0306501,80.1529176
2 BHK Apartment for Sale in Triplicane Chennai,Triplicane Chennai,10600000,710,14929,13.0604285,80.2750704
3 BHK Apartment for Sale in Adambakkam Chennai,Adambakkam Chennai,16200000,619,26171,12.9911279,80.2159634
2 BHK Apartment for Sale in Guindy Chennai,Guindy Chennai,41800000,1904,21953,13.0033712,80.2384104
3 BHK Apartment for Sale in Padur Chennai,Padur Chennai,9000000,1474,6105,12.8036899,80.223749
3 BHK Villa for Sale in Kolathur Chennai,Kolathur Chennai,18000000,2000,9000,12.9409165,80.2053522
3 BHK Villa for Sale in S Kolathur Chennai,S Kolathur Chennai,25000000,2100,11904,12.9409165,80.2053522
2 BHK Builder Floor for Sale in Uthandi Chennai,Uthandi Chennai,9000000,920,9782,12.8714121,80.2354245
3 BHK Apartment for Sale in Grand Southern Trunk Road Chennai,Grand Southern Trunk Road Chennai,15500000,1255,12350,12.993374,80.1725867
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,11200000,1450,7724,12.9050095,80.1968629
3 BHK Apartment for Sale in Pallavaram Chennai,Pallavaram Chennai,10500000,1336,7859,12.993374,80.1725867
3 BHK Villa for Sale in Kelambakkam Chennai,Kelambakkam Chennai,15000000,1900,7894,12.8429461,80.15541
2 BHK Apartment for Sale in Valmiki Nagar Chennai,Valmiki Nagar Chennai,12800000,1000,12800,12.9804404,80.2645577
3 BHK  House for Sale in Kolapakkam Chennai,Kolapakkam Chennai,15000000,2435,6160,13.0142333,80.1561762
3 BHK Apartment for Sale in Navalur Chennai,Navalur Chennai,13000000,1646,7897,12.8358864,80.2295898
2 BHK Apartment for Sale in Velachery Chennai,Velachery Chennai,9500000,1080,8796,13.0105862,80.2232935
2 BHK Apartment for Sale in Melakottaiyur Chennai,Melakottaiyur Chennai,4000000,650,6153,12.8429461,80.15541
2 BHK Apartment for Sale in Gerugambakkam Chennai,Gerugambakkam Chennai,5200000,978,5316,13.0206951,80.1365271
2 BHK Apartment for Sale in klp utsav Chennai,klp utsav Chennai,7000000,580,12068,13.1014934,80.2505349
2 BHK Builder Floor for Sale in Rajaji Nagar Villivakkam Chennai,Rajaji Nagar Villivakkam Chennai,5300000,706,7507,13.1115156,80.2116057
2 BHK Apartment for Sale in Maduravoyal Chennai,Maduravoyal Chennai,6500000,915,7103,13.0601732,80.1665988
2 BHK Apartment for Sale in Kotturpuram Chennai,Kotturpuram Chennai,16500000,1247,13231,13.0166023,80.2445275
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,13500000,1625,8307,12.9050095,80.1968629
2 BHK Apartment for Sale in Neelankarai Chennai,Neelankarai Chennai,11000000,1086,10128,12.9515892,80.2606515
2 BHK Apartment for Sale in Perungalathur Chennai,Perungalathur Chennai,3500000,620,5645,12.9183422,80.1015514
3 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,12500000,1491,8383,12.9743085,80.1923059
2 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,5500000,500,11000,12.9050095,80.1968629
2 BHK Apartment for Sale in Maraimalai Nagar Chennai,Maraimalai Nagar Chennai,7000000,1076,6505,13.018875,80.2246142
2 BHK Apartment for Sale in Perambur Chennai,Perambur Chennai,6400000,600,10666,13.1121242,80.245022
2 BHK Apartment for Sale in Navalur Chennai,Navalur Chennai,6000000,762,7874,12.8358864,80.2295898
3 BHK  House for Sale in Poonamallee High Road Chennai,Poonamallee High Road Chennai,20000000,550,36363,13.0765971,80.2377398
3 BHK Apartment for Sale in Ram Nagar Madipakkam Chennai,Ram Nagar Madipakkam Chennai,11000000,1500,7333,12.9653278,80.2069929
2 BHK Apartment for Sale in Padur Chennai,Padur Chennai,7200000,700,10285,12.8036899,80.223749
3 BHK Apartment for Sale in Tambaram Chennai,Tambaram Chennai,7500000,1193,6286,13.069962,80.1490359
3 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,6800000,800,8500,12.9488802,80.2326617
2 BHK Apartment for Sale in Kolathur Chennai,Kolathur Chennai,6950000,899,7730,12.9409165,80.2053522
2 BHK Apartment for Sale in Selaiyur Chennai,Selaiyur Chennai,5000000,785,6369,12.9303475,80.1324472
3 BHK Apartment for Sale in Madipakkam Chennai,Madipakkam Chennai,12500000,1203,10390,12.9535075,80.1933628
3 BHK Apartment for Sale in Tiruvottiyur Chennai,Tiruvottiyur Chennai,15500000,1624,9544,13.1852828,80.3099265
3 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,12000000,1460,8219,12.9488802,80.2326617
3 BHK Apartment for Sale in West Mambalam Chennai,West Mambalam Chennai,19600000,930,21075,13.0353596,80.2256334
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,7700000,1300,5923,12.9050095,80.1968629
3 BHK Apartment for Sale in Sholinganallur Chennai,Sholinganallur Chennai,12400000,1492,8310,12.9825181,80.252674
3 BHK Apartment for Sale in Nerkundram Chennai,Nerkundram Chennai,18000000,1234,14586,13.0623251,80.1852913
3 BHK Apartment for Sale in Thoraipakkam Chennai,Thoraipakkam Chennai,11500000,1146,10034,12.9488802,80.2326617
2 BHK Apartment for Sale in OMR Chennai,OMR Chennai,10000000,112,89285,12.9877311,80.2493865
2 BHK Apartment for Sale in Poonamallee Chennai,Poonamallee Chennai,4000000,905,4419,13.0142534,80.1905788
2 BHK Builder Floor for Sale in Korattur Chennai,Korattur Chennai,8300000,876,9474,13.1115484,80.1846272
3 BHK Villa for Sale in Guduvancherry Chennai,Guduvancherry Chennai,10900000,1710,6374,12.8768075,79.6160108
"2 BHK Villa for Sale in Redhills, Chennai Chennai","Redhills, Chennai Chennai",2500000,600,4166,13.1518932,80.2043335
2 BHK  House for Sale in Kolathur Chennai,Kolathur Chennai,5000000,787,6353,12.9409165,80.2053522
2 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,8000000,987,8105,12.9743085,80.1923059
2 BHK Apartment for Sale in Valasaravakkam Chennai,Valasaravakkam Chennai,7200000,1078,6679,13.068518,80.2280904
2 BHK Apartment for Sale in Kelambakkam Chennai,Kelambakkam Chennai,5800000,950,6105,12.8429461,80.15541
2 BHK Apartment for Sale in Kolathur Chennai,Kolathur Chennai,4900000,790,6202,12.9409165,80.2053522
2 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,10500000,927,11326,12.9122358,80.2290329
2 BHK Builder Floor for Sale in Chengalpattu Chennai,Chengalpattu Chennai,3200000,800,4000,12.8581117,80.2262771
2 BHK Apartment for Sale in Ambattur Chennai,Ambattur Chennai,4000000,414,9661,13.068518,80.2280904
2 BHK Apartment for Sale in Perungalathur Chennai,Perungalathur Chennai,6200000,783,7918,12.9183422,80.1015514
3 BHK Builder Floor for Sale in Kamaraj Nagar Thiruvanmiyur Chennai,Kamaraj Nagar Thiruvanmiyur Chennai,19500000,1420,13732,12.9942424,80.2569278
